mois,month,departement,nb_cvts,ca_adm_ht,ca_alim_ht
January,1,Helio Digital,198,1470.48,1187.53
January,1,Nexa Systems,246,1363.56,1410.44
January,1,Vanta Group,90,455.76,588.04
January,1,Cobalt Logistics,404,1727.34,1887.83
January,1,Kairo Holdings,587,4059.27,4921.94
January,1,Vertex Industries,765,3706.18,6208.05
January,1,Nova Holdings,523,4277.55,5199.71
January,1,Vertex Solutions,409,1923.49,3665.78
January,1,Cobalt Group,552,1894.61,3051.77
January,1,Zenith Holdings,325,2015.01,1142.98
January,1,Kairo Services,159,984.0,1295.19
January,1,Vertex Industries,775,4432.42,6255.95
January,1,Astra Logistics,680,3948.75,5183.14
January,1,Cobalt Group,189,1120.57,1295.57
January,1,Lumen Foods,145,773.33,1352.48
January,1,Helio Partners,437,2646.04,2086.43
January,1,Altair Group,233,1069.93,1512.13
January,1,Cobalt Services,543,3186.37,5098.34
January,1,Orion Logistics,643,5105.6,6880.95
January,1,Nexa Consulting,260,1447.13,2015.0
January,1,Altair Holdings,258,1144.57,2732.52
January,1,Nova Services,555,2628.65,4886.06
January,1,Vertex Systems,767,4559.95,4424.46
January,1,Zenith Labs,683,4136.85,2568.8
January,1,Helio Holdings,578,2753.24,5958.41
January,1,Altair Digital,172,1026.65,866.98
January,1,Orion Digital,503,1666.73,4734.89
January,1,Lumen Logistics,724,2555.76,5297.14
January,1,Helio Logistics,357,1306.16,2801.72
January,1,Nexa Digital,777,5391.61,5960.48
January,1,Nova Labs,99,600.71,822.8
January,1,Kairo Partners,308,1579.9,1272.99
January,1,Nexa Labs,340,1810.2,1814.26
January,1,Zenith Labs,716,5504.79,6548.42
January,1,Astra Consulting,657,3366.29,4507.57
February,2,Cobalt Logistics,797,6433.43,5880.21
February,2,Cobalt Services,241,1162.5,1199.46
February,2,Kairo Holdings,130,858.48,593.79
February,2,Nova Services,663,4937.88,3737.39
February,2,Astra Labs,332,2593.75,3603.56
February,2,Nova Digital,115,492.04,1038.57
February,2,Cobalt Services,775,5036.17,7379.11
February,2,Zenith Labs,200,958.21,775.06
February,2,Helio Digital,561,2963.3,4432.02
February,2,Orion Holdings,765,3411.3,5277.93
February,2,Nova Holdings,375,1868.41,2921.21
February,2,Lumen Foods,429,3688.12,1814.18
February,2,Nexa Labs,361,1111.93,2957.71
February,2,Nexa Holdings,536,3023.57,3840.85
February,2,Zenith Labs,350,1155.71,2535.64
February,2,Altair Solutions,793,5365.34,6263.69
